iter	MultiClass
0	1.433674216
1	1.310666997
2	1.220743798
3	1.147321927
4	1.091569943
5	1.044439164
6	1.001528383
7	0.9682495735
8	0.9373000791
9	0.9125397238
10	0.8895709584
11	0.8699944621
12	0.85314581
13	0.8374690796
14	0.8227675007
15	0.8089449486
16	0.7961097949
17	0.7850521921
18	0.7737970227
19	0.7666412168
20	0.7579163874
21	0.7511643356
22	0.7448422797
23	0.7372217071
24	0.7322944397
25	0.7275606031
26	0.72196697
27	0.7173288342
28	0.7134169108
29	0.7099324016
30	0.7071504088
31	0.7046381913
32	0.7021595504
33	0.698371684
34	0.6965037439
35	0.6948830452
36	0.6929282307
37	0.6923202766
38	0.6913821151
39	0.6895968599
40	0.6862496061
41	0.6836475111
42	0.6799369262
43	0.6782414012
44	0.6769636072
45	0.6751683462
46	0.673235058
47	0.6718125291
48	0.6711020206
49	0.6701078226
50	0.6690828071
51	0.6682868906
52	0.6668984823
53	0.6659965088
54	0.6656020279
55	0.6641302576
56	0.6637715467
57	0.6621238851
58	0.6607581469
59	0.6597747221
60	0.6584263862
61	0.6582920195
62	0.6575954267
63	0.6569988815
64	0.655994169
65	0.6554064998
66	0.6549006046
67	0.6544563582
68	0.6541427213
69	0.6537155187
70	0.6525815831
71	0.6519529587
72	0.6500254347
73	0.6496264102
74	0.64934291
75	0.6492905842
76	0.6490305853
77	0.6485778253
78	0.6480619466
79	0.6478192072
80	0.6472934081
81	0.6467271388
82	0.6463994447
83	0.6455062162
84	0.6454265283
85	0.6451430419
86	0.644804125
87	0.6447506585
88	0.6444528167
89	0.6443724047
90	0.6442651889
91	0.6438181593
92	0.6431714062
93	0.6417666321
94	0.6409435297
95	0.6407870508
96	0.6402669783
97	0.639438091
98	0.6394109095
99	0.6388692875
100	0.6388009327
101	0.6387499886
102	0.6385004505
103	0.6373569202
104	0.6370976568
105	0.6368162182
106	0.6363155489
107	0.6355351211
108	0.6353701076
109	0.6348198621
110	0.6347552644
111	0.6344151905
112	0.6341629236
113	0.6337461192
114	0.6328608898
115	0.6326570399
116	0.6321581372
117	0.6314647885
118	0.6306570997
119	0.6296362045
120	0.6290111001
121	0.6289252054
122	0.6284083088
123	0.6280524621
124	0.6277953503
125	0.6275613865
126	0.627060702
127	0.6261864897
128	0.6254791008
129	0.62500335
130	0.6248821946
131	0.6243940633
132	0.6238866956
133	0.62339949
134	0.6228658253
135	0.6227008325
136	0.6222573229
137	0.6221162174
138	0.6216050956
139	0.621097998
140	0.6208186769
141	0.6207270764
142	0.6203501838
143	0.620266044
144	0.6202154355
145	0.6201529853
146	0.6195720839
147	0.6191345976
148	0.6187051353
149	0.6184969751
150	0.6184346521
151	0.6179592128
152	0.6176613245
153	0.6172813864
154	0.6168130267
155	0.6166684059
156	0.6165501948
157	0.6160528332
158	0.6158524541
159	0.6158086153
160	0.6157777917
161	0.6157472431
162	0.6154181948
163	0.6152498423
164	0.6148396825
165	0.6147845158
166	0.6142430242
167	0.6141253672
168	0.6135865079
169	0.613414165
170	0.6132278957
171	0.6128632902
172	0.6125924497
173	0.6123406559
174	0.6118939502
175	0.6117103188
176	0.6113229879
177	0.6111719265
178	0.6110561067
179	0.6107343688
180	0.6106687145
181	0.6104274669
182	0.6101289191
183	0.6097674255
184	0.6096087151
185	0.6095093762
186	0.6093569063
187	0.6088717738
188	0.6088099443
189	0.6087774654
190	0.6085155638
191	0.6084742165
192	0.6080044743
193	0.6078634693
194	0.6077775431
195	0.6077611743
196	0.6076158271
197	0.607477553
198	0.6072613147
199	0.6067753737
200	0.6066346594
201	0.6064893039
202	0.6062979331
