iter	Passed	Remaining
0	77	77021
1	94	47341
2	111	37218
3	129	32321
4	146	29095
5	161	26835
6	178	25321
7	194	24083
8	211	23304
9	228	22577
10	243	21912
11	260	21440
12	276	20980
13	292	20576
14	307	20163
15	322	19830
16	338	19580
17	352	19240
18	368	19035
19	382	18739
20	398	18599
21	414	18411
22	429	18224
23	444	18096
24	462	18045
25	477	17903
26	494	17808
27	510	17729
28	524	17549
29	538	17417
30	553	17295
31	566	17145
32	582	17074
33	598	16995
34	613	16913
35	628	16831
36	643	16752
37	656	16621
38	671	16546
39	686	16466
40	704	16480
41	721	16453
42	736	16390
43	751	16317
44	763	16206
45	778	16147
46	792	16072
47	808	16038
48	822	15954
49	836	15899
50	850	15832
51	864	15761
52	879	15711
53	893	15651
54	906	15571
55	922	15549
56	935	15478
57	950	15443
58	967	15431
59	982	15399
60	998	15367
61	1012	15313
62	1024	15239
63	1038	15183
64	1052	15141
65	1065	15075
66	1079	15036
67	1092	14976
68	1108	14956
69	1120	14892
70	1137	14885
71	1152	14857
72	1171	14880
73	1185	14838
74	1198	14782
75	1213	14748
76	1225	14686
77	1238	14642
78	1253	14608
79	1266	14559
80	1281	14542
81	1295	14503
82	1309	14466
83	1324	14445
84	1335	14377
85	1348	14332
86	1361	14287
87	1374	14240
88	1386	14196
89	1400	14155
90	1412	14112
91	1428	14095
92	1441	14063
93	1457	14051
94	1472	14027
95	1486	13995
96	1502	13985
97	1517	13967
98	1529	13923
99	1545	13907
100	1559	13880
101	1571	13834
102	1584	13802
103	1600	13787
104	1614	13765
105	1629	13739
106	1642	13709
107	1658	13696
108	1671	13667
109	1687	13655
110	1700	13622
111	1714	13590
112	1727	13558
113	1742	13541
114	1760	13546
115	1774	13526
116	1790	13514
117	1807	13511
118	1822	13491
119	1839	13487
120	1853	13464
121	1866	13430
122	1881	13417
123	1895	13391
124	1910	13372
125	1923	13342
126	1938	13328
127	1957	13336
128	1973	13322
129	1988	13309
130	2001	13278
131	2015	13256
132	2030	13238
133	2046	13227
134	2062	13216
135	2076	13189
136	2092	13183
137	2106	13156
138	2121	13140
139	2136	13121
140	2150	13098
141	2163	13072
142	2178	13056
143	2192	13030
144	2206	13009
145	2219	12981
146	2235	12972
147	2251	12962
148	2265	12937
149	2280	12925
150	2293	12894
151	2308	12876
152	2323	12861
153	2337	12839
154	2353	12829
155	2368	12815
156	2383	12795
157	2398	12784
158	2411	12754
159	2424	12730
160	2437	12700
161	2450	12674
162	2466	12664
163	2482	12652
164	2498	12643
165	2510	12613
166	2526	12601
167	2539	12574
168	2555	12566
169	2570	12550
170	2584	12531
171	2600	12518
172	2614	12496
173	2631	12492
174	2646	12477
175	2662	12463
176	2677	12449
177	2691	12431
178	2707	12417
179	2725	12414
180	2738	12390
181	2751	12368
182	2766	12351
183	2781	12337
184	2795	12314
185	2807	12287
186	2823	12276
187	2838	12261
188	2851	12233
189	2862	12204
190	2877	12187
191	2889	12160
192	2904	12146
193	2920	12132
194	2931	12103
195	2943	12075
196	2956	12052
197	2971	12036
198	2984	12014
